title,description,category,organization,recurrence,start_date,end_date,region,zip_code,owner
Tutor,Help an adult with a developmental disability to fulfill his goal of passing his classes. He needs assistance with his remedial math and english classes.,Helping Neighbors in Need,"Services for the UnderServed, Inc.",ongoing,August 23 2022,August 25 2022,MANHATTAN,11722,testadmin
Sunday Soup Kitchen Outreach Volunteers,"Every Sunday at our outreach/information table, Cathedral Community Cares’ volunteers provide information and referrals to clients of the Sunday Soup Kitchen.",Helping Neighbors in Need,Cathedral Community Cares,ongoing,January 25 2022,January 25 2023,MANHATTAN,12422,testadmin
Event Sponsorship for Professionals,"Obtaining funding through corporate sponsorship is fundamental to the success of many events. However, securing corporate sponsorships for events can be challenging and skills involved are very different from those that work in organization’s everyday fundraising.",Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
Fly-by-Night Dance Theater - Volunteer Grant Writer for Youth Dance Program,"Fly-by-Night is in need of a grant writer or fund-raising person to help with securing funds for their after-school dance program at the Muscota New School, Manhattan.  Their program, free to participants , is focused on keeping students physically active as well as engaging them intellectually.",Strengthening Communities,Up2Us,ongoing,March 22 2022,May 22 2022,MANHATTAN,13092,testadmin
Client Services and Welcome Desk,NYAWC is seeking a volunteer to support the efficient operations of the Client Services division.,Helping Neighbors in Need,New York Asian Women's Center,ongoing,August 16 2022,March 6 2023,MANHATTAN,11725,testadmin
Marketing Intern for Youth Programs Serving LGBT Youth,"Live Out Loud is a nonprofit organization that connects LGBT youth with positive, dynamic role models.  We are seeking a marketing intern who is also able to help develop and execute marketing strategies for our programs and events.",Strengthening Communities,Live Out Loud - Volunteers,ongoing,September 15 2022,June 1 2023,MANHATTAN,12080,testadmin
Volunteer Videographer,"Big Apple Greeter is looking for a videographer to take videos during our two annual fundraisers, Greeter for a Day outings, and other special events as needed.",Strengthening Communities,Big Apple Greeter,ongoing,June 23 2022,June 22 2023,MANHATTAN,11728,testadmin
Mentors,"Mentors are asked to meet with their students 4-6 times a year, and maintain monthly contact by phone or email.  SSP organizes events throughout the school year that mentors and students may attend together, or mentors may meet with students on their own – the commitment is flexible.",Education,Student Sponsor Partners,ongoing,September 1 2022,September 1 2023,MANHATTAN,12079,testadmin
Western John Muir Volunteer Day,Remove invasive plants and help native trees and shrubs.,Strengthening Communities,Friends of Van Cortlandt Park,onetime,May 14 2022,May 14 2022,BRONX,11272,testadmin
Mentor,"When you make the commitment to become a mentor, you are making the decision to have a real impact on a young person's life.  Staff will guide you through recreation, enrichment, and academic activities through which you can share your skills, interests, and experiences with your mentee.",Education,"""I Have a Dream"" Foundation - NY: Ravenswood Program",ongoing,July 8 2022,July 7 2023,QUEENS,16863,testadmin
Graphic Design for Professionals,"Print materials such as brochures, one-pagers, event invitations, flyers, and posters serve as valuable marketing tools. To put an organization's best messages forward, a designer combines copy content, photographs, brand, and logo together in a visually interesting and professional manner.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Shred Fest 2011!!,we are inviting all New Yorkers to protect their identity by bringing personal documents to be shredded for free at more locations than ever: 16 locations throughout the City. Shred Fest hours are from 10 am to 4 pm.  Shred Fest volunteers will be needed on-site from 9:30 am to 4:30 pm.,Helping Neighbors in Need,NYC Department Of Consumer Affairs Office Of Financial Empowerment,onetime,May 22 2022,May 22 2022,MANHATTAN,11725,testadmin
Purim Envelope Stuffing,"Help is needed to stuff, seal and stamp approximately 15,000 envelopes, in preparation for the upcoming Purim holiday.",Strengthening Communities,MASBIA,ongoing,March 10 2022,March 13 2022,BROOKLYN,13513,testadmin
Nutrition Workshop for Seniors,"Metropolitan Council on Jewish Poverty is one of New York's largest human services agencies, providing more than 100,000 New Yorkers with critical services in their fight against poverty and its effects every year.",Health,Metropolitan Council on Jewish Poverty,ongoing,September 1 2022,December 31 2023,MANHATTAN,12078,testadmin
Administrative Assistant,"Volunteers help by conducting adminstrative tasks, such as answering phones, conducting data entry and processing mailings.",Strengthening Communities,Dress for Success - Bronx Branch,ongoing,August 10 2022,January 9 2023,BRONX,10931,testadmin
Chinese Translator Needed,The New York City Coalition Against Hunger is seeking a Chinese translator to help with translation work for our “Guide(s) to Free Food & Assistance” (aka “Street Sheets” project).,Helping Neighbors in Need,New York City Coalition Against Hunger,ongoing,March 2 2022,March 11 2022,MANHATTAN,11726,testadmin
Volunteer Citizenship Tutor,Help us tutor Arab Immigrants applying for the US citizenship.  Small group or one-on-one tutoring Training and materials all provided  Requirements: 1) Two Hour weekly commitment 2) Cultural Sensitivity to Arab Immigrants,Helping Neighbors in Need,Arab American Association Of New York,ongoing,February 3 2022,February 1 2023,BROOKLYN,17216,testadmin
Run for the Wild,"Make tracks for turtles in the WCS Run for the Wild at the New York Aquarium. This 5K-run and Family Fun Run takes place on the boardwalk at Coney Island on Sunday, October 9, and is dedicated to saving turtles",Environment,WCS,onetime,October 9 2022,October 9 2022,BRONX,11269,testadmin
Arts Workshops Intern Needed,The HAI Arts Workshops department is looking for one intern to work 30 hours each week for the 2010-2011 academic year.,Strengthening Communities,Hospital Audiences Inc. (HAI),onetime,September 8 2022,September 8 2022,MANHATTAN,12075,testadmin
Movie screener for Seniors,A volunteer who can screen movies about nutrition and fitness for low-income seniors in Brooklyn.,Health,Metropolitan Council on Jewish Poverty,ongoing,March 10 2022,December 31 2022,MANHATTAN,13096,testadmin
Administrative Support Volunteer,"Goal of Position: To help provide office assistance related to ongoing programs in the Special Projects Department Activities: Data entry, filing, research, report creation and analysis, official document editing",Emergency Preparedness,World Cares Center,ongoing,February 17 2022,July 31 2022,MANHATTAN,12080,testadmin
Energy Efficiency Outreach,"Chhaya CDC seeks volunteers to promote its exciting new program called Retrofit, Block by Block.  By linking eligible homeowners and tenants to free or low-cost home energy assessments and improvements, Chhaya will help New Yorkers save money on utility bills while greening our communities.",Environment,Chhaya Community Development Corporation,ongoing,April 11 2022,March 1 2023,QUEENS,14783,testadmin
JASA Volunteer Art Teacher at Mill Basin Senior Center,Volunteer as little as one hour per week to work with our seniors on arts and crafts project.,Helping Neighbors in Need,Jewish Association for Services for the Aged (JASA),ongoing,March 7 2022,March 6 2023,BROOKLYN,13825,testadmin
Classroom Assistants,Assist teachers in an Early Head Start program.,Education,Episcopal Social Services NYC,ongoing,September 6 2022,August 1 2023,MANHATTAN,11722,testadmin
Teacher for ABE and Pre-GED students,A residential substance abuse treatment program needs a teacher for men and women ON-SITE at 2071 Fulton St. Brooklyn. Experience working with students at multiple levels is PREFERRED. Minimum three days a week. ..10-20 students.,Helping Neighbors in Need,"New York Therapeutic Communities, Inc.",ongoing,September 12 2022,September 11 2023,BROOKLYN,13516,testadmin
9/11 Memorial Volunteers - A Mission of Honor & Hope,The 9/11 Memorial is seeking dedicated volunteers to support the Visitor Services staff and to play a vital role in providing a meaningful experience to visitors from around the world coming to one of the world’s foremost historical sites.,Strengthening Communities,NATIONAL SEPTEMBER 11 MEMORIAL & MUSEUM,ongoing,September 12 2022,September 1 2023,MANHATTAN,11727,testadmin
Penny Harvest Run For Change!,Common Cents is recruiting volunteers to help with our first Annual Run for Change 5K Run/ Walk.,Strengthening Communities,Common Cents New York,onetime,April 30 2022,April 30 2022,MANHATTAN,12421,testadmin
Does your organization need an intern?,The International High School @ Prospect Heights is currently seeking to provide un-paid assistance to local businesses and organizations from March - June 2011.,Education,The International High School @ Prospect Heights,ongoing,March 3 2022,June 1 2022,BROOKLYN,13509,testadmin
Paint and beautify a transitional residence for homeless men & women,Beautify a transitional housing residence for 75 homeless men and women. We are painting the interior walls of this residence. No experience needed!,Strengthening Communities,"Services for the UnderServed, Inc.",onetime,October 22 2022,October 22 2022,BRONX,11606,testadmin
Stipend After School Program Mentor Opportunity,"Help a child in need! We need mentors to help fraught Bushwick and Bedford - Stuyvesant students ages 5 -13 attain educational achievement. We also offer $125.00 - $250.00 to any volunteer who volunteers for a full month, Monday through Friday for at least 3 hours a day.",Education,Children's Choice Family Services,ongoing,September 12 2022,June 30 2023,BROOKLYN,18181,testadmin
FVCP Trail Restoration Crew,"Want to learn useful skills about trails planning and maintenance, while making a significant impact to the quality of Van Cortlandt Park? No prior trails experience is necessary; all training will be offered in an on-the-job format.",Strengthening Communities,Friends of Van Cortlandt Park,ongoing,March 5 2022,June 4 2022,BRONX,11272,testadmin
After school program volunteer,"We have 14 students in our after school program, ages 7 to 14. Volunteers will help the kids finish all their homework before they go home, assign extra classwork when they are finished and lead students in extracurricular activities.",Education,WisdomLand After School and Summer Day Camp,ongoing,February 23 2022,June 28 2022,QUEENS,13832,testadmin
Kitchen Aide for JASA Scheuer House,Come help out the kitchen staff at our Scheuer House Senior Center!,Helping Neighbors in Need,Jewish Association for Services for the Aged (JASA),ongoing,September 1 2022,August 31 2023,BROOKLYN,18184,testadmin
Sara D Roosevelt Park Cleanup/Beautification Project,"We will be doing a renovation/beautification project on the Oval Track Area directly behind the Sara Delano Roosevelt HQ Park House.  Where: 102 Hester Street, NYC, NY 10002 When: Saturday, September 10th from 11am to 1pm",Strengthening Communities,Pace University Community & Volunteer Mobilization AmeriCorps,onetime,September 10 2022,September 10 2022,MANHATTAN,11728,testadmin
Be the Change. Become a Mentor!,Join over a thousand professionals in NYC who mentor iMentor teens from underserved communities. Most of them had never served as mentors before joining but iMentor’s flexible and supportive mentoring model gave them the opportunity and confidence to try.,Education,iMentor,ongoing,April 21 2022,April 20 2023,MANHATTAN,11726,testadmin
Queens-Volunteer at Family Night on the Beach,"This evening event is held at the Far Rockaway Boardwalk.  Volunteers are needed to supervise beach activities, paint faces and distribute refreshments.",Strengthening Communities,New York City Department of Parks & Recreation,onetime,July 22 2022,July 22 2022,QUEENS,24014,testadmin
Performing Arts Volunteer,"Seeking volunteers to assist Performing Arts Director in teaching singing, acting and dancing skills to our youth.",Strengthening Communities,Salah M. Hassanein Variety Boys & Girls Club Of Queens,ongoing,August 22 2022,August 21 2023,QUEENS,16859,testadmin
Jumpstart's Friendship Day at Positive Beginnings,"Jumpstart at St. John's University is looking for volunteers to come read about  friendship, make friendship bracelets and collages with preschool children!",Education,Jumpstart for Young Children,onetime,February 18 2022,February 18 2022,QUEENS,14509,testadmin
Photography for Professionals,"Professional photographers can capture images of supporters at fundraisers, volunteers on a workday, or people whom the organization serves. These photographs can be used in promotional materials, for presentations, or on organization websites.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Technology Expert Advice for Professionals,"A well-designed technology plan helps an organization increase its efficiency in daily operations. Yet, many nonprofits and social enterprises face significant challenges in determining what technology services, applications, and infrastructure to put in place",Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
Human Resources Strategy for Professionals,A human resources strategy assesses an organization's human resources in order to provide recommendations to streamline operations and increase staff capacity.,Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Event Planning,"Volunteers needed to work as a team, planning events for nonprofit organization.",Strengthening Communities,Future Grads,ongoing,February 3 2022,February 3 2023,QUEENS,24338,testadmin
Greenhouse/Greening,Maintain the greenhouse   Work with residents one-one or in small groups and plants.,Environment,Isabella Geriatric Center,ongoing,April 1 2022,March 31 2023,MANHATTAN,13098,testadmin
Teach Adults and Kids how to Ride Bikes!,"Change a community!  Give the gift of self confidence, independence, health, and a smaller carbon footprint! Volunteer for Bike New York!",Education,Bike New York,ongoing,June 30 2022,October 15 2022,MANHATTAN,12421,testadmin
Volunteer at School's Out for Summer Event-Queens,"This volunteer event will be held in Bayswater Park, Queens, on June 25th.  20 volunteers are needed to assist with crafts, games, face painting and popcorn making.",Strengthening Communities,New York City Department of Parks & Recreation,onetime,June 25 2022,June 25 2022,QUEENS,24011,testadmin
Healthy Communities- Get Active Day,Come join the Friends of Van Cortlandt Park for a day full of fun activities sure to get you outside and and moving.,Strengthening Communities,Friends of Van Cortlandt Park,onetime,September 17 2022,September 17 2022,BRONX,11272,testadmin
Teach Adults and Kids how to Ride Bikes!,"Change a community!  Give the gift of self confidence, independence, health, and a smaller carbon footprint! Volunteer for Bike New York!",Health,Bike New York,ongoing,July 12 2022,October 15 2022,MANHATTAN,12421,testadmin
Dispatcher Trainee (Volunteer),The primary role of the volunteer dispatcher is to process emergency calls for help efficiently and smoothly. A dispatcher required to take information from a caller regarding a medical emergency;  The Dispatcher is responsible for receiving and dispatching emergency calls to field units.,Emergency Preparedness,Bensonhurst Volunteer Ambulance Service,ongoing,September 21 2022,September 21 2023,BROOKLYN,17616,testadmin
Tutors Needed in Harlem!,Academic tutors needed for one-on-one tutoring sessions on Tuesday and Thursday afternoons.,Education,In Arms Reach Inc,ongoing,February 4 2022,February 4 2023,MANHATTAN,12428,testadmin
Advanced ESL classes (Women),With four levels of Women's ESL classes running at the AAANY we are looking for a dedicated ESL Volunteer to help us strengthen our upper level Advanced Course.,Helping Neighbors in Need,Arab American Association Of New York,ongoing,February 28 2022,February 28 2023,BROOKLYN,17216,testadmin
Client Care Services Volunteer,"The Client Care Services Volunteer would be assigned to the New York City Family Justice Center, Queens (QFJC).  Flexible schedule (no less than 4 hours per week)",Helping Neighbors in Need,"New York City Family Justice Center, Queens",ongoing,April 15 2022,April 15 2023,QUEENS,24011,testadmin
Office Volunteer,"The Leukemia & Lymphoma Society is seeking energetic, personable, and detail-oriented volunteers to assist the Operations Department.",Strengthening Communities,The Leukemia & Lymphoma Society,ongoing,March 15 2022,March 14 2023,MANHATTAN,12078,testadmin
Monitor recycling at Astoria Street Fair,"Interested in experiencing the smells, sounds, and sights of the Astoria Broadway Street Fair while still serving your community, your city, and the environment? Then sign up to volunteer with us on Sunday, September 25!",Environment,Office of Recycling Outreach and Education,onetime,September 25 2022,September 25 2022,MANHATTAN,11728,testadmin
End of Season Celebration,Enjoy a taste of Van Cortandt Garden,Strengthening Communities,Friends of Van Cortlandt Park,onetime,November 20 2022,November 20 2022,BRONX,11272,testadmin
Press List for Professionals,A press list is a list of media outlets and contacts that an organization wants to target on an ongoing basis or a list designed for a specific news announcement. This is a list of key reporters and publications that are relevant to an organization and the types of news it wishes to publicize.,Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
Community Leader,We are seeking a new Coalition Leader to co-lead the Coalition as we enter into the next phase of our project and continue to expand. A job description can be found below.  Please contact us  envisionwilliamsburg@wiggiomail.com if you're interested and meet the criteria identified below.,Strengthening Communities,Project Envision,ongoing,May 27 2022,September 26 2023,STATEN IS,10369,testadmin
Fundraising and Event Volunteers Needed,Do you want to make a difference against human trafficking? Do you want to see some of the ins and outs of putting together a very large fundraising event? Read on.,Strengthening Communities,New York Asian Women's Center,ongoing,July 15 2022,November 26 2022,MANHATTAN,11725,testadmin
Grant Writer,"Looking to attain a professional grant writer to assist with fundraising for athletic, educational, professional and life skill development organization.",Strengthening Communities,Big Apple Basketball,ongoing,February 23 2022,February 23 2023,MANHATTAN,12073,testadmin
Salesforce Database Customization for Professionals,"Databases are necessary to manage and analyze large amounts of data and maintain relationships amongst different kinds of data (eg. a parent and his/her children, a building and its tenants).",Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
MS Word Tutor,Tutor Staff in using basic functions of MS Word,Helping Neighbors in Need,Center For Hearing And Communication,ongoing,April 4 2022,June 15 2022,MANHATTAN,11725,testadmin
Queens Fall Harvest Festival-volunteers Needed!`,"Volunteer at the Fall Harvest Festival in Highland Park, Queens.",Strengthening Communities,New York City Department of Parks & Recreation,onetime,March 8 2022,March 8 2022,QUEENS,24011,testadmin
Give the Gift of Bicycling!,Become a Bike New York volunteer and teach adults and kids how to ride bicycles!,Education,Bike New York,ongoing,June 9 2022,October 1 2022,MANHATTAN,12421,testadmin
"NYAWC Spring Volunteer Information Forum, come learn about volunteering with NYAWC, (Refreshments)",The NYAWC Volunteer Council proudly presents:  Spring Volunteer Information Forum.  - Hear first-hand from current volunteers about volunteer activities - Mingle and chat with like-minded people - Refreshments provided,Strengthening Communities,New York Asian Women's Center,onetime,April 21 2022,April 21 2022,MANHATTAN,11723,testadmin
Clerical Volunteer Support,"Assist in filing, mailings, and various clerical duties",Strengthening Communities,Brooklyn Community Services,ongoing,April 27 2022,April 26 2023,BROOKLYN,17619,testadmin
Queens Green Teens opportunity,"NYC Parks is looking for teenagers or teen programs who are interested in cleaning up a local parkland by removing debris, collecting recyclables and taking care of greenery.",Environment,New York City Department of Parks & Recreation,ongoing,June 22 2022,June 21 2023,QUEENS,24011,testadmin
Business Plan Review for Professionals,"A business plan is a document that helps you communicate your goals and the plan for how you're going to accomplish them to external stakeholders, such as potential investors, funders, advisers and Board members.",Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
Special Projects Manager,Big Apple Greeter is currently seeking a Special Projects Manager to work with the Executive Director and the Founder.  This is an executive-level experience for the right individual interested in working in the non-profit world.,Strengthening Communities,Big Apple Greeter,ongoing,February 23 2022,February 23 2023,MANHATTAN,11728,testadmin
Press Release for Professionals,A press release is a written communication directed at members of the media containing information about something newsworthy an organization is doing. A press release announces this information in an exciting and compelling way to encourage media outlets to pick up the story.,Strengthening Communities,Catchafire,ongoing,June 6 2022,June 5 2023,MANHATTAN,12076,testadmin
Fall Forest Restoration Volunteer Kickoff,Volunteers needed to help remove invasive plants and plant native trees and shrubs at various locations in Van Cortlandt Park.,Environment,Friends of Van Cortlandt Park,onetime,September 24 2022,September 24 2022,BRONX,11272,testadmin
It’s My Park! Day at the Friends Compost Site/Garden,"Come out and help us plant our garden, learn about what we are growing and turn and sift our compost bins.",Strengthening Communities,Friends of Van Cortlandt Park,onetime,May 21 2022,May 21 2022,BRONX,11272,testadmin
Merchandise Design for Professionals,"Merchandise design helps an organization create professional designs for t-shirts, pins, hats or giveaways that include an organization's logo or a logo created for a special event.",Strengthening Communities,Catchafire,ongoing,June 5 2022,June 4 2023,MANHATTAN,12076,testadmin
Become a Mentor Today!,Looking for a way to give back and change a life?   Become a Mentor today!    Send one weekly email on an interesting topic that iMentor provides  See your mentee once a month for two hours at an iMentor organized group event.   Click this posting to learn more!,Education,iMentor,ongoing,April 15 2022,April 14 2023,MANHATTAN,11726,testadmin
Fiesta! Volunteers,"We are looking for volunteers to help us execute a Cinco de Mayo celebration, supporting Global Workers programs and services",Strengthening Communities,Global Workers Justice Alliance,onetime,May 5 2022,May 5 2022,BROOKLYN,13829,testadmin
Row New York Afterschool Volunteer Tutor for High School,"Volunteer your time to work alongside an all-girls, high school rowing team, helping them succeed in academics during after-school time.",Education,Up2Us,ongoing,March 1 2022,April 1 2022,QUEENS,16858,testadmin
Fundraising Coordinator,The Fundraising Coordinator will design and coordinate fundraising activities.,Strengthening Communities,"APC COMMUNIY SERVICES, INC.",ongoing,September 1 2022,August 31 2023,BROOKLYN,16866,testadmin
Clothing Drive for Returning Veterans,Memorial Day Celebration Kicks-Off Clothing Drive for Veterans Seeking Employment,Strengthening Communities,NYC Service,ongoing,May 31 2022,June 10 2022,MANHATTAN,12076,testadmin
Homework Helpers and Tutors for Kids Grades K-1!!,East Harlem Scholars Academy is looking for homework helpers and tutors for our brilliant kindergarten and first grade students!,Education,East Harlem Tutorial Program,ongoing,September 7 2022,June 27 2023,MANHATTAN,12426,testadmin
Foster Care Recruitment Celebration Event on  May 21th,"There are 16,000 children actively in foster care and only 12,000 foster parents. We are helping to try to increase homes for foster children. The Month of May is foster care month.  so we will be discussing how foster care youth need support services and other issues that need to be addressed.",Strengthening Communities,Foster Parent Advocacy Foundation Inc,onetime,May 21 2022,May 21 2022,MANHATTAN,12424,testadmin
Bronx: Water Aerobics Instructor For Shape Up NYC at St. Mary's recreation center,"NYC Parks and Recreation seeks your participation to enrich our recreation facilities! Shape Up New York is a free fitness program for all ages and is looking for additional instructors at St. Mary’s Recreation Center (St. Ann’s Avenue at East 145th street, Bronx, NY 10455)",Health,New York City Department of Parks & Recreation,ongoing,June 1 2022,June 30 2023,BRONX,10933,testadmin
Young Professionals Committee 2nd Annual Summer Benefit,Several volunteers are needed for an upcoming cocktail party benefiting the Children's Museum of the Arts.,Strengthening Communities,Children's Museum Of The Arts,onetime,August 9 2022,August 9 2022,MANHATTAN,12076,testadmin
Driver,Services for the UnderServed (SUS) is currently seeking volunteers interested in becoming an on-demand Driver.  Volunteers are needed occasionally to drive staff and other individuals to program sites located throughout New York City.,Helping Neighbors in Need,"Services for the UnderServed, Inc.",ongoing,April 12 2022,April 11 2023,MANHATTAN,11722,testadmin
Tutors Needed!!!!,"Tutors are needed for our youth program Union East After 3. Subjects include math, science, english, spanish, and history.",Education,Union Settlement Association,ongoing,September 20 2022,September 19 2023,MANHATTAN,12426,testadmin
Networking Workshop Volunteer,Help Met Council clients practice their networking skills.,Helping Neighbors in Need,Metropolitan Council on Jewish Poverty,ongoing,April 6 2022,April 6 2023,MANHATTAN,13096,testadmin
Help Desk Intern,We are in need of a Help Desk Intern to help our engineers solve the issues of our end users in a more timely fashion.,Strengthening Communities,National Multiple Sclerosis Society NYC Chapter,ongoing,January 21 2022,March 1 2022,MANHATTAN,12079,testadmin
Director of Public Relations,The director of public relations is the person who represents and is responsible for educating and promoting awareness of our agency and it services to the community.,Strengthening Communities,Family and Community Support Services,ongoing,August 11 2022,August 10 2023,BROOKLYN,17615,testadmin
Volunteer Front Desk Assistant,Serve as the first point of contact for the Connect-to-Care program.,Strengthening Communities,FEGS,ongoing,September 14 2022,September 13 2023,MANHATTAN,12076,testadmin
Volunteer at Queens Farm,"Assist farmers with weeding, mulching, planting, and harvesting in our two acre vegetable production.",Health,Queens County Farm Museum,ongoing,April 17 2022,October 30 2022,QUEENS,16098,testadmin
Event phone bank representative,"The representative will phone outside organizations to promote awareness of upcoming events and seek out participation from local businesses, community based organizations and individuals.",Helping Neighbors in Need,"Talk Therapy Television, Inc.",ongoing,August 19 2022,October 10 2023,QUEENS,24012,testadmin
Homework Helpers,Has math always come easily to you?  Do you know what prepositions and adjectives are?  Are you an expert on ecosystems?  Well . . . have you ever considered sharing your knowledge by becoming a tutor for children in need?,Education,Metropolitan Council on Jewish Poverty,ongoing,April 5 2022,June 29 2022,MANHATTAN,13096,testadmin
Rise Up Stay Put Home Rescue Fair!!,"(CNYCN) and its partners are now organizing 2011 Rise Up & Stay Put! Saturday, April 23 at York College in Queens, and a future date and location in Brooklyn this summer.",Helping Neighbors in Need,NYC Department Of Consumer Affairs Office Of Financial Empowerment,onetime,April 23 2022,April 23 2022,QUEENS,24672,testadmin
JASA Volunteer Exercise Teachers at H.E.S. and Mill Basin Senior Centers,We are in need of volunteer exercise teachers to instruct our members at our H.E.S. and Mill Basin Senior Centers.,Health,Jewish Association for Services for the Aged (JASA),ongoing,March 7 2022,March 6 2023,BROOKLYN,13827,testadmin
Winter Jam 2011,"City of New York Department of Parks & Recreation Annual Winter Festival featuring Cross Country Skiing, Snowboarding, and Snowshoeing!",Strengthening Communities,New York City Department of Parks & Recreation,onetime,February 5 2022,February 5 2022,MANHATTAN,10090,testadmin
Trevor Lifeline Counselors,"The Trevor Lifeline, 866.4.U.TREVOR (866.488.7386), is the only nationwide, around-the-clock crisis and suicide prevention lifeline for lesbian, gay, bisexual, transgender and questioning (LGBTQ) youth.",Helping Neighbors in Need,The Trevor Project,ongoing,May 18 2022,May 17 2023,MANHATTAN,13096,testadmin
Spring Volunteer Kickoff,Projects throughout the Park will include tree plantings and invasive plant removal.,Strengthening Communities,Friends of Van Cortlandt Park,onetime,April 16 2022,April 16 2022,BRONX,11272,testadmin
Be a Climb to the Top Volunteer!,"Climb to the Top is a unique stair climbing event hosted by the National MS Society, NYC-SNY Chapter that will take place n Sunday, February 27, 2011 as 1,000 participants will climb 66 flights of stairs to help create a world free of MS.",Health,National Multiple Sclerosis Society NYC Chapter,onetime,February 27 2022,February 27 2022,MANHATTAN,12082,testadmin
Volunteers Needed for Volunteer Reception Center Drill,"World Cares Center is seeking up to 20 volunteers to participate in an emergency management drill on Wednesday, February 2, 2011.",Emergency Preparedness,World Cares Center,onetime,February 2 2022,February 2 2022,MANHATTAN,12080,testadmin
Director of Development,The director of development will provide developmental guidance and support to the senior management team of the agency.,Strengthening Communities,Family and Community Support Services,ongoing,August 15 2022,August 15 2023,BROOKLYN,17615,testadmin
Mentor,"We are looking for dedicated and enthusiastic volunteer mentors for adults with intellectual disabilities (such as autism, Down syndrome). Our programs and services are designed to nurture independence and confidence.",Helping Neighbors in Need,"Services for the UnderServed, Inc.",ongoing,October 1 2022,September 12 2023,MANHATTAN,11722,testadmin
Grant Writer,ACTS Community Development is seeking volunteer/intern to research and write grants.,Strengthening Communities,Coney Island Lighthouse Mission,ongoing,August 24 2022,August 23 2023,BROOKLYN,18184,testadmin
Chinese Translator,Volunteer needed to translate written materials from English into Chinese.,Helping Neighbors in Need,"Services for the UnderServed, Inc.",ongoing,July 20 2022,September 1 2022,MANHATTAN,11722,testadmin
Million Trees NYC Community Tree Giveaway,Due to popular demand the Friends are pleased to offer community members FREE trees to plant on private property.,Strengthening Communities,Friends of Van Cortlandt Park,onetime,May 15 2022,May 15 2022,BRONX,11272,testadmin
Tutor with The Fresh Air Fund,Become at tutor with The Fresh Air Fund and change a child's life forever!,Education,The Fresh Air Fund,ongoing,September 14 2022,December 15 2023,MANHATTAN,12079,testadmin
Career Counselor,Volunteers help our clients by reviewing and editing résumés/coverletters and giving interview tips to a woman in need. They also meet with clients to perform mock interviews and informational interviews in order to give them a chance to practice and improve their communication skills.,Helping Neighbors in Need,Dress for Success - Bronx Branch,ongoing,August 10 2022,January 1 2023,BRONX,10931,testadmin
Family Liason Program at New York Methodist Hospital,"A team of mature adults staff our desk in front of the surgical suites.  Providing information, connecting families and physicians post surgically and guiding families to the resources they need is the focus of this volunteer experience.",Health,New York Methodist Hospital,ongoing,August 17 2022,August 16 2023,BROOKLYN,17617,testadmin
Case Management Intern,"In 2010, POTS’ Case Managers helped close to 1,100 people including 315 families with 300+ children identify barriers to stability and take steps to address them.  369 individuals were provided information and referrals to link with detox, educational and employment programs, shelter.",Helping Neighbors in Need,Part of the Solution (POTS),ongoing,June 29 2022,June 28 2023,BRONX,10936,testadmin
Coffee & Conversation: English Practice for English Learners,Help immigrants and new Americans practice their English through some Coffee & Conversation!,Helping Neighbors in Need,The Dialogue Project,ongoing,June 9 2022,July 12 2022,BROOKLYN,17617,testadmin
Earth Day Volunteers needed-Queens,"Far Rockaway Beach, Queens.  Volunteers needed for crafts, games and face painting.  The event takes place on April 30th.",Strengthening Communities,New York City Department of Parks & Recreation,onetime,April 30 2022,April 30 2022,QUEENS,24011,testadmin
2011 World Science Festival Volunteers Needed!,"The World Science Festival, returning to New York City June 1-5, 2011 with a sweeping array of cutting-edge science programs designed to make the esoteric understandable and the familiar fascinating, is once again looking to assemble the best volunteer team in the business!",Strengthening Communities,2011 World Science Festival,ongoing,June 1 2022,June 5 2022,MANHATTAN,10097,testadmin
Computer Training,Volunteers needed to teach seniors basic computer skills.,Strengthening Communities,Citymeals-on-Wheels,ongoing,September 19 2022,August 21 2023,MANHATTAN,12079,testadmin
Grant Research (Fundraising and Developement ),NYAWC is seeking a volunteer to help research grant opportunities. Our programs and services for abused women and their children are funded by a combination of public and private sources.,Helping Neighbors in Need,New York Asian Women's Center,ongoing,July 15 2022,July 25 2022,MANHATTAN,11725,testadmin
Tutors Needed: High School of Art and Design,Learning Leaders currently seeks tutors to help in all subject areas at High School of Art and Design.  The High School of Art and Design is the only high school for the development of artists interested in the commercial arts. Studio classes are conducted as in a professional agency.,Education,Learning Leaders,ongoing,September 15 2022,June 30 2023,MANHATTAN,12419,testadmin
